"Delivery Date","Hour Ending","MW Offered","RRSPFR Offer Price"
"01/30/2023","01","157.5","0"
"01/30/2023","01","891.3",".01"
"01/30/2023","01","903.3",".02"
"01/30/2023","01","915.3",".03"
"01/30/2023","01","937.8",".09"
"01/30/2023","01","960.3",".17"
"01/30/2023","01","966.3",".29"
"01/30/2023","01","981.3",".36"
"01/30/2023","01","996.3",".43"
"01/30/2023","01","1002.3",".49"
"01/30/2023","01","1068.2",".5"
"01/30/2023","01","1083.2",".59"
"01/30/2023","01","1139.2",".63"
"01/30/2023","01","1154.2",".67"
"01/30/2023","01","1167.2",".73"
"01/30/2023","01","1197.2",".75"
"01/30/2023","01","1224.2",".78"
"01/30/2023","01","1286.7",".79"
"01/30/2023","01","1313.7",".8"
"01/30/2023","01","1356.7",".81"
"01/30/2023","01","1384.7",".82"
"01/30/2023","01","1444.7",".89"
"01/30/2023","01","1481.7",".99"
"01/30/2023","01","1721.5","1"
"01/30/2023","01","1761.5","1.04"
"01/30/2023","01","1765.4","1.11"
"01/30/2023","01","1865.4","1.12"
"01/30/2023","01","1871.4","1.19"
"01/30/2023","01","1992.8","1.2"
"01/30/2023","01","2087.8","1.25"
"01/30/2023","01","2192.3","1.29"
"01/30/2023","01","2252.3","1.3"
"01/30/2023","01","2258.3","1.49"
"01/30/2023","01","2281.8","1.5"
"01/30/2023","01","2329.8","1.56"
"01/30/2023","01","2337.3","1.85"
"01/30/2023","01","2345.3","1.86"
"01/30/2023","01","2405.3","1.89"
"01/30/2023","01","2465.3","1.95"
"01/30/2023","01","2472.8","1.96"
"01/30/2023","01","2525.3","1.98"
"01/30/2023","01","2531.3","2"
"01/30/2023","01","2607.3","2.11"
"01/30/2023","01","2679.3","2.15"
"01/30/2023","01","2720.5","2.21"
"01/30/2023","01","2780.5","2.29"
"01/30/2023","01","2788","2.3"
"01/30/2023","01","2830","2.31"
"01/30/2023","01","2844.2","2.4"
"01/30/2023","01","2893.2","2.49"
"01/30/2023","01","2900.7","2.7"
"01/30/2023","01","2922.1","2.81"
"01/30/2023","01","2934.6","2.89"
"01/30/2023","01","2951.1","2.91"
"01/30/2023","01","3043.1","3"
"01/30/2023","01","3059.9","3.01"
"01/30/2023","01","3074.9","3.38"
"01/30/2023","01","3084.9","3.39"
"01/30/2023","01","3094.9","4"
"01/30/2023","01","3102.9","4.05"
"01/30/2023","01","3110.4","4.07"
"01/30/2023","01","3117.9","4.53"
"01/30/2023","01","3118.9","4.75"
"01/30/2023","01","3119.9","4.89"
"01/30/2023","01","3153.9","4.95"
"01/30/2023","01","3156.9","4.97"
"01/30/2023","01","3262.9","5"
"01/30/2023","01","3277.9","5.1"
"01/30/2023","01","3292.9","5.12"
"01/30/2023","01","3307.9","6.45"
"01/30/2023","01","3322.9","6.46"
"01/30/2023","01","3325.9","7"
"01/30/2023","01","3328.9","8"
"01/30/2023","01","3400.9","8.15"
"01/30/2023","01","3403.9","9"
"01/30/2023","01","3463.9","9.97"
"01/30/2023","01","3483.9","9.99"
"01/30/2023","01","3511.8","11.51"
"01/30/2023","01","3583.8","14.15"
"01/30/2023","01","3623.8","20"
"01/30/2023","01","3680.8","29.15"
"01/30/2023","01","3690.8","50.01"
