"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSUFR"
"01/30/2023","1","510.7"
"01/30/2023","2","510.7"
"01/30/2023","3","499.1"
"01/30/2023","4","492.7"
"01/30/2023","5","487.1"
"01/30/2023","6","476.1"
"01/30/2023","7","446.8"
"01/30/2023","8","441.1"
"01/30/2023","9","445.3"
"01/30/2023","10","447.3"
"01/30/2023","11","466.9"
"01/30/2023","12","473.2"
"01/30/2023","13","480.6"
"01/30/2023","14","485.5"
"01/30/2023","15","497.2"
"01/30/2023","16","498.9"
"01/30/2023","17","494.5"
"01/30/2023","18","481.6"
"01/30/2023","19","464.7"
"01/30/2023","20","464.1"
"01/30/2023","21","464.7"
"01/30/2023","22","469.9"
"01/30/2023","23","492.9"
"01/30/2023","24","500.5"
