"Delivery Date","Hour Ending","Total Self-Arranged AS - RegDown"
"01/31/2023","1","10"
"01/31/2023","2","7.3"
"01/31/2023","3","7.1"
"01/31/2023","4","8"
"01/31/2023","5","6.6"
"01/31/2023","6","10.6"
"01/31/2023","7","8.1"
"01/31/2023","8","7.3"
"01/31/2023","9","25.2"
"01/31/2023","10","18.6"
"01/31/2023","11","16.6"
"01/31/2023","12","15.5"
"01/31/2023","13","14.3"
"01/31/2023","14","13.1"
"01/31/2023","15","14.8"
"01/31/2023","16","12.5"
"01/31/2023","17","9.6"
"01/31/2023","18","7.2"
"01/31/2023","19","9.9"
"01/31/2023","20","8.6"
"01/31/2023","21","9.1"
"01/31/2023","22","9.8"
"01/31/2023","23","13.5"
"01/31/2023","24","11.8"
