"Delivery Date","Hour Ending","MW Offered","RRSUFR Offer Price"
"02/01/2023","01","902.2","0"
"02/01/2023","01","1069.6","15"
"02/01/2023","02","898.8","0"
"02/01/2023","02","1066.1","15"
"02/01/2023","03","909.6","0"
"02/01/2023","03","1077.1","15"
"02/01/2023","04","911.9","0"
"02/01/2023","04","1079.4","15"
"02/01/2023","05","916.4","0"
"02/01/2023","05","1084","15"
"02/01/2023","06","1040.9","0"
"02/01/2023","07","1137.7","0"
"02/01/2023","08","1143.4","0"
"02/01/2023","09","1135.4","0"
"02/01/2023","10","1145.1","0"
"02/01/2023","11","1254.9","0"
"02/01/2023","12","1251","0"
"02/01/2023","13","1247","0"
"02/01/2023","14","1213.8","0"
"02/01/2023","15","1211.5","0"
"02/01/2023","16","1211.5","0"
"02/01/2023","17","1203.6","0"
"02/01/2023","18","1077","0"
"02/01/2023","19","1090.6","0"
"02/01/2023","20","1092.4","0"
"02/01/2023","21","1099.9","0"
"02/01/2023","22","1216.2","0"
"02/01/2023","23","1178.4","0"
"02/01/2023","24","1173.9","0"
