"Delivery Date","Hour Ending","Total Self-Arranged AS - RRSPFR"
"02/01/2023","1","251.4"
"02/01/2023","2","251.4"
"02/01/2023","3","248.6"
"02/01/2023","4","249.9"
"02/01/2023","5","255.8"
"02/01/2023","6","263.1"
"02/01/2023","7","265.5"
"02/01/2023","8","269.1"
"02/01/2023","9","264.6"
"02/01/2023","10","251.9"
"02/01/2023","11","247.7"
"02/01/2023","12","239.7"
"02/01/2023","13","234.8"
"02/01/2023","14","232"
"02/01/2023","15","226.7"
"02/01/2023","16","227.6"
"02/01/2023","17","231.7"
"02/01/2023","18","239.2"
"02/01/2023","19","244.4"
"02/01/2023","20","245.6"
"02/01/2023","21","244.6"
"02/01/2023","22","244.5"
"02/01/2023","23","251.9"
"02/01/2023","24","250.8"
