"Delivery Date","Hour Ending","MW Offered","ONNS Offer Price"
"02/02/2023","01","78","0"
"02/02/2023","01","550.6",".01"
"02/02/2023","01","565.6",".2"
"02/02/2023","01","620.6",".35"
"02/02/2023","01","700.6",".4"
"02/02/2023","01","825.6",".5"
"02/02/2023","01","915.6",".55"
"02/02/2023","01","1110.6",".6"
"02/02/2023","01","1255.6",".7"
"02/02/2023","01","1315.6",".75"
"02/02/2023","01","1360.6",".88"
"02/02/2023","01","1365.6",".98"
"02/02/2023","01","1630.6","1"
"02/02/2023","01","1730.6","1.32"
"02/02/2023","01","1798.6","1.36"
"02/02/2023","01","1838.6","1.5"
"02/02/2023","01","1863.2","1.6"
"02/02/2023","01","1973.2","1.75"
"02/02/2023","01","2053.2","2"
"02/02/2023","01","2288.2","3"
"02/02/2023","01","2838.2","3.14"
"02/02/2023","01","2893.2","4"
"02/02/2023","01","3022.6","5"
"02/02/2023","01","3066.6","5.01"
"02/02/2023","01","3088.2","5.25"
"02/02/2023","01","3132.2","6"
"02/02/2023","01","3173.8","6.56"
"02/02/2023","01","3186.8","7.95"
"02/02/2023","01","3216.8","8"
"02/02/2023","01","3238.4","8.2"
"02/02/2023","01","3253.4","10"
"02/02/2023","01","3282.2","10.25"
"02/02/2023","01","3292.6","12.82"
"02/02/2023","01","3302.6","15"
"02/02/2023","01","3352.6","25"
"02/02/2023","01","3372.6","52.45"
"02/02/2023","01","3512.6","100"
"02/02/2023","01","3706.6","110.8"
"02/02/2023","01","3900.6","235.8"
"02/02/2023","01","4055.6","460.8"
"02/02/2023","01","4067.6","1999"
"02/02/2023","02","78","0"
"02/02/2023","02","550.6",".01"
"02/02/2023","02","565.6",".2"
"02/02/2023","02","620.6",".35"
"02/02/2023","02","700.6",".4"
"02/02/2023","02","825.6",".5"
"02/02/2023","02","915.6",".55"
"02/02/2023","02","1110.6",".6"
"02/02/2023","02","1255.6",".7"
"02/02/2023","02","1315.6",".75"
"02/02/2023","02","1360.6",".88"
"02/02/2023","02","1625.6","1"
"02/02/2023","02","1630.6","1.05"
"02/02/2023","02","1730.6","1.32"
"02/02/2023","02","1798.6","1.36"
"02/02/2023","02","1838.6","1.5"
"02/02/2023","02","1863.2","1.6"
"02/02/2023","02","1973.2","1.75"
"02/02/2023","02","2053.2","2"
"02/02/2023","02","2288.2","3"
"02/02/2023","02","2838.2","3.14"
"02/02/2023","02","2893.2","4"
"02/02/2023","02","3022.6","5"
"02/02/2023","02","3066.6","5.01"
"02/02/2023","02","3088.2","5.25"
"02/02/2023","02","3132.2","6"
"02/02/2023","02","3173.8","6.56"
"02/02/2023","02","3186.8","7.95"
"02/02/2023","02","3216.8","8"
"02/02/2023","02","3238.4","8.2"
"02/02/2023","02","3253.4","10"
"02/02/2023","02","3282.2","10.25"
"02/02/2023","02","3292.6","12.82"
"02/02/2023","02","3302.6","15"
"02/02/2023","02","3352.6","25"
"02/02/2023","02","3372.6","52.45"
"02/02/2023","02","3512.6","100"
"02/02/2023","02","3706.6","110.8"
"02/02/2023","02","3900.6","235.8"
"02/02/2023","02","4055.6","460.8"
"02/02/2023","02","4067.6","1999"
"02/02/2023","03","78","0"
"02/02/2023","03","550.6",".01"
"02/02/2023","03","565.6",".2"
"02/02/2023","03","620.6",".35"
"02/02/2023","03","700.6",".4"
"02/02/2023","03","825.6",".5"
"02/02/2023","03","915.6",".55"
"02/02/2023","03","1110.6",".6"
"02/02/2023","03","1255.6",".7"
"02/02/2023","03","1315.6",".75"
"02/02/2023","03","1360.6",".88"
"02/02/2023","03","1625.6","1"
"02/02/2023","03","1630.6","1.01"
"02/02/2023","03","1730.6","1.32"
"02/02/2023","03","1798.6","1.36"
"02/02/2023","03","1838.6","1.5"
"02/02/2023","03","1863.2","1.6"
"02/02/2023","03","1973.2","1.75"
"02/02/2023","03","2053.2","2"
"02/02/2023","03","2288.2","3"
"02/02/2023","03","2838.2","3.14"
"02/02/2023","03","2893.2","4"
"02/02/2023","03","3022.6","5"
"02/02/2023","03","3066.6","5.01"
"02/02/2023","03","3088.2","5.25"
"02/02/2023","03","3132.2","6"
"02/02/2023","03","3173.8","6.56"
"02/02/2023","03","3186.8","7.95"
"02/02/2023","03","3216.8","8"
"02/02/2023","03","3238.4","8.2"
"02/02/2023","03","3253.4","10"
"02/02/2023","03","3282.2","10.25"
"02/02/2023","03","3292.6","12.82"
