"Delivery Date","Hour Ending","Total Cleared AS - NonSpin"
"02/02/2023","1","2741.8"
"02/02/2023","2","2742.3"
"02/02/2023","3","3548.9"
"02/02/2023","4","3546.7"
"02/02/2023","5","3542.3"
"02/02/2023","6","3535.9"
"02/02/2023","7","4010"
"02/02/2023","8","4009.1"
"02/02/2023","9","4013.2"
"02/02/2023","10","4021.9"
"02/02/2023","11","4114.2"
"02/02/2023","12","4121.2"
"02/02/2023","13","4246.5"
"02/02/2023","14","4249.3"
"02/02/2023","15","5019.4"
"02/02/2023","16","5016.7"
"02/02/2023","17","5011.3"
"02/02/2023","18","5004.3"
"02/02/2023","19","3807.6"
"02/02/2023","20","3804.6"
"02/02/2023","21","3932"
"02/02/2023","22","3932"
"02/02/2023","23","3020"
"02/02/2023","24","3020"
