"Delivery Date","Hour Ending","Total Cleared AS - RRSPFR"
"02/02/2023","1","1515.9"
"02/02/2023","2","1516.7"
"02/02/2023","3","1479.9"
"02/02/2023","4","1478.9"
"02/02/2023","5","1473.9"
"02/02/2023","6","1336.7"
"02/02/2023","7","1285.1"
"02/02/2023","8","1282.8"
"02/02/2023","9","1284"
"02/02/2023","10","1202.9"
"02/02/2023","11","1225.9"
"02/02/2023","12","1230.3"
"02/02/2023","13","1230.9"
"02/02/2023","14","1233.4"
"02/02/2023","15","1184.3"
"02/02/2023","16","1181.7"
"02/02/2023","17","1177.9"
"02/02/2023","18","1243.4"
"02/02/2023","19","1241.5"
"02/02/2023","20","1241.4"
"02/02/2023","21","1388.5"
"02/02/2023","22","1374"
"02/02/2023","23","1466.9"
"02/02/2023","24","1467.6"
