"Delivery Date","Hour Ending","Total Self-Arranged AS - NonSpin"
"02/02/2023","1","303.2"
"02/02/2023","2","302.7"
"02/02/2023","3","353.2"
"02/02/2023","4","355.3"
"02/02/2023","5","359.7"
"02/02/2023","6","366.1"
"02/02/2023","7","347"
"02/02/2023","8","347.9"
"02/02/2023","9","343.8"
"02/02/2023","10","335.1"
"02/02/2023","11","334.8"
"02/02/2023","12","327.8"
"02/02/2023","13","333.5"
"02/02/2023","14","330.8"
"02/02/2023","15","376.6"
"02/02/2023","16","379.3"
"02/02/2023","17","384.7"
"02/02/2023","18","391.7"
"02/02/2023","19","323.4"
"02/02/2023","20","326.4"
"02/02/2023","21","199"
"02/02/2023","22","199"
"02/02/2023","23","253"
"02/02/2023","24","253"
