"Delivery Date","Hour Ending","MW Offered","OFFNS Offer Price"
"02/03/2023","01","745.1",".01"
"02/03/2023","01","996.1",".02"
"02/03/2023","01","1146.1",".03"
"02/03/2023","01","1397.1",".04"
"02/03/2023","01","1547.1",".05"
"02/03/2023","01","1747.1",".06"
"02/03/2023","01","1846.1",".07"
"02/03/2023","01","2046.1",".08"
"02/03/2023","01","2094.1",".09"
"02/03/2023","01","2142.1",".1"
"02/03/2023","01","2187.1",".22"
"02/03/2023","01","2290.1",".25"
"02/03/2023","01","2335.1",".32"
"02/03/2023","01","2351.7",".4"
"02/03/2023","01","2441.7",".42"
"02/03/2023","01","2489.7",".65"
"02/03/2023","01","2533.7",".92"
"02/03/2023","01","2577.7",".94"
"02/03/2023","01","2621.7",".96"
"02/03/2023","01","2665.7",".97"
"02/03/2023","01","2949.2",".99"
"02/03/2023","01","3076.5","1.04"
"02/03/2023","01","3136.5","1.05"
"02/03/2023","01","3194","1.09"
"02/03/2023","01","3250.8","1.11"
"02/03/2023","01","3314.2","1.13"
"02/03/2023","01","3384.2","1.14"
"02/03/2023","01","3444.2","1.15"
"02/03/2023","01","3503.2","2"
"02/03/2023","01","3563.7","2.3"
"02/03/2023","01","3626.7","2.45"
"02/03/2023","01","3690.7","2.65"
"02/03/2023","01","3896.7","2.72"
"02/03/2023","01","3958.7","2.85"
"02/03/2023","01","4004.7","3"
"02/03/2023","01","4019.7","3.01"
"02/03/2023","01","4081.7","3.3"
"02/03/2023","01","4147.7","3.75"
"02/03/2023","01","4193.7","4"
"02/03/2023","01","4208.7","4.01"
"02/03/2023","01","4273.7","4.8"
"02/03/2023","01","4309.7","5"
"02/03/2023","01","4521.7","10.8"
"02/03/2023","01","4749.7","25.8"
"02/03/2023","01","4780.2","50"
"02/03/2023","01","4810.3","80"
"02/03/2023","01","4840.4","110"
"02/03/2023","01","4870.2","140"
"02/03/2023","01","4898.9","170"
"02/03/2023","01","4925.7","200"
"02/03/2023","01","4952.5","230"
"02/03/2023","01","4980.9","260"
"02/03/2023","01","5007.7","290"
"02/03/2023","01","5036.1","320"
"02/03/2023","01","5060.9","350"
"02/03/2023","01","5083.7","380"
"02/03/2023","01","5107.5","410"
"02/03/2023","01","5129.3","440"
"02/03/2023","01","5155.1","470"
"02/03/2023","02","745.1",".01"
"02/03/2023","02","996.1",".02"
"02/03/2023","02","1146.1",".03"
"02/03/2023","02","1397.1",".04"
"02/03/2023","02","1547.1",".05"
"02/03/2023","02","1747.1",".06"
"02/03/2023","02","1846.1",".07"
"02/03/2023","02","2046.1",".08"
"02/03/2023","02","2094.1",".09"
"02/03/2023","02","2142.1",".1"
"02/03/2023","02","2187.1",".22"
"02/03/2023","02","2290.1",".25"
"02/03/2023","02","2335.1",".32"
"02/03/2023","02","2351.7",".4"
"02/03/2023","02","2441.7",".42"
"02/03/2023","02","2489.7",".59"
"02/03/2023","02","2533.7",".92"
"02/03/2023","02","2577.7",".94"
"02/03/2023","02","2621.7",".96"
"02/03/2023","02","2665.7",".97"
"02/03/2023","02","2949.2",".99"
"02/03/2023","02","3076.5","1.04"
"02/03/2023","02","3136.5","1.05"
"02/03/2023","02","3194","1.09"
"02/03/2023","02","3250.8","1.11"
"02/03/2023","02","3314.2","1.13"
"02/03/2023","02","3384.2","1.14"
"02/03/2023","02","3444.2","1.15"
"02/03/2023","02","3503.2","2"
"02/03/2023","02","3563.7","2.3"
"02/03/2023","02","3626.7","2.45"
"02/03/2023","02","3690.7","2.65"
"02/03/2023","02","3896.7","2.72"
"02/03/2023","02","3958.7","2.85"
"02/03/2023","02","4004.7","3"
"02/03/2023","02","4019.7","3.01"
"02/03/2023","02","4081.7","3.3"
"02/03/2023","02","4147.7","3.75"
"02/03/2023","02","4193.7","4"
"02/03/2023","02","4208.7","4.01"
"02/03/2023","02","4273.7","4.8"
"02/03/2023","02","4309.7","5"
"02/03/2023","02","4521.7","10.8"
