"Delivery Date","Hour Ending","Total Cleared AS - RegDown"
"02/03/2023","1","279.7"
"02/03/2023","2","232.3"
"02/03/2023","3","222.7"
"02/03/2023","4","184.9"
"02/03/2023","5","298.8"
"02/03/2023","6","509"
"02/03/2023","7","300"
"02/03/2023","8","554.4"
"02/03/2023","9","850.5"
"02/03/2023","10","576.3"
"02/03/2023","11","508.3"
"02/03/2023","12","485.3"
"02/03/2023","13","492.8"
"02/03/2023","14","487.2"
"02/03/2023","15","446.4"
"02/03/2023","16","488"
"02/03/2023","17","484.4"
"02/03/2023","18","358.8"
"02/03/2023","19","315.3"
"02/03/2023","20","334.1"
"02/03/2023","21","323.6"
"02/03/2023","22","312.2"
"02/03/2023","23","372.5"
"02/03/2023","24","315.4"
