"Delivery Date","Hour Ending","Total Self-Arranged AS - RegUp"
"02/04/2023","1","7.7"
"02/04/2023","2","6.7"
"02/04/2023","3","6.8"
"02/04/2023","4","8.8"
"02/04/2023","5","12.5"
"02/04/2023","6","16.5"
"02/04/2023","7","20"
"02/04/2023","8","13.2"
"02/04/2023","9","10.2"
"02/04/2023","10","14.5"
"02/04/2023","11","14.4"
"02/04/2023","12","13.4"
"02/04/2023","13","14.2"
"02/04/2023","14","15.9"
"02/04/2023","15","16"
"02/04/2023","16","18.3"
"02/04/2023","17","21.6"
"02/04/2023","18","22"
"02/04/2023","19","22.4"
"02/04/2023","20","8.3"
"02/04/2023","21","8.9"
"02/04/2023","22","6.4"
"02/04/2023","23","8.8"
"02/04/2023","24","6.2"
