ID,Purchase Order ID,Product ID,Quantity,Unit Cost,Date Received,Posted To Inventory,Inventory ID
238,90,1,40,14.0,2006-01-22,True,59.0
239,91,3,100,8.0,2006-01-22,True,54.0
240,91,4,40,16.0,2006-01-22,True,55.0
241,91,5,40,16.0,2006-01-22,True,56.0
242,92,6,100,19.0,2006-01-22,True,40.0
243,92,7,40,22.0,2006-01-22,True,41.0
244,92,8,40,30.0,2006-01-22,True,42.0
245,92,14,40,17.0,2006-01-22,True,43.0
246,92,17,40,29.0,2006-01-22,True,44.0
247,92,19,20,7.0,2006-01-22,True,45.0
248,92,20,40,61.0,2006-01-22,True,46.0
249,92,21,20,8.0,2006-01-22,True,47.0
250,90,34,60,10.0,2006-01-22,True,60.0
251,92,40,120,14.0,2006-01-22,True,48.0
252,92,41,40,7.0,2006-01-22,True,49.0
253,90,43,100,34.0,2006-01-22,True,61.0
254,92,48,100,10.0,2006-01-22,True,50.0
255,92,51,40,40.0,2006-01-22,True,51.0
256,93,52,100,5.0,2006-01-22,True,37.0
257,93,56,120,28.0,2006-01-22,True,38.0
258,93,57,80,15.0,2006-01-22,True,39.0
259,91,65,40,16.0,2006-01-22,True,57.0
260,91,66,80,13.0,2006-01-22,True,58.0
261,94,72,40,26.0,2006-01-22,True,36.0
262,92,74,20,8.0,2006-01-22,True,52.0
263,92,77,60,10.0,2006-01-22,True,53.0
264,95,80,75,3.0,2006-01-22,True,35.0
265,90,81,125,2.0,2006-01-22,True,62.0
266,96,34,100,10.0,2006-01-22,True,82.0
267,97,19,30,7.0,2006-01-22,True,80.0
268,98,41,200,7.0,2006-01-22,True,78.0
269,99,43,300,34.0,2006-01-22,True,76.0
270,100,48,100,10.0,2006-01-22,True,74.0
271,101,81,200,2.0,2006-01-22,True,72.0
272,102,43,300,34.0,,False,
273,103,19,10,7.0,2006-04-17,True,111.0
274,104,41,50,7.0,2006-04-06,True,115.0
275,105,57,100,15.0,2006-04-05,True,100.0
276,106,72,50,26.0,2006-04-05,True,113.0
277,107,34,300,10.0,2006-04-05,True,107.0
278,108,8,25,30.0,2006-04-05,True,105.0
279,109,19,25,7.0,2006-04-05,True,109.0
280,110,43,250,34.0,2006-04-10,True,103.0
281,90,1,40,14.0,,False,
282,92,19,20,7.0,,False,
283,111,34,50,10.0,2006-04-04,True,102.0
285,91,3,50,8.0,,False,
286,91,4,40,16.0,,False,
288,140,85,10,9.0,,False,
289,141,6,10,18.75,,False,
290,142,1,1,13.5,,False,
292,146,20,40,60.0,,False,
293,146,51,40,39.0,,False,
294,147,40,120,13.0,,False,
295,148,72,40,26.0,,False,
